"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 10:27:16 AST 2023","Sun Sep 24 10:27:16 AST 2023","24","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifyFullNameFiledPlaceholderIsCorrect","verifyFullNameFiledPlaceholderIsCorrect",""
"passed","Sun Sep 24 10:27:09 AST 2023","Sun Sep 24 10:27:09 AST 2023","29","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_1_ImageIsDisplayed","verifyCard_1_ImageIsDisplayed",""
"passed","Sun Sep 24 10:26:34 AST 2023","Sun Sep 24 10:26:34 AST 2023","20","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","academyMenuItemTextIsCorrect","academyMenuItemTextIsCorrect",""
"passed","Sun Sep 24 10:28:13 AST 2023","Sun Sep 24 10:28:13 AST 2023","24","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderIndexOneBlogPostShareFacebookIconIsDisplayed","verifySliderIndexOneBlogPostShareFacebookIconIsDisplayed",""
"passed","Sun Sep 24 10:27:16 AST 2023","Sun Sep 24 10:27:16 AST 2023","28","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifyMobileNumberFiledIsDisplayed","verifyMobileNumberFiledIsDisplayed",""
"passed","Sun Sep 24 10:27:11 AST 2023","Sun Sep 24 10:27:11 AST 2023","42","Practice Suite","Home Page Test","HomePageTest.StatisticsSectionTest","HomePageTest.StatisticsSectionTest","paragraphSessionDurationTest","paragraphSessionDurationTest",""
"passed","Sun Sep 24 10:27:11 AST 2023","Sun Sep 24 10:27:11 AST 2023","41","Practice Suite","Home Page Test","HomePageTest.StatisticsSectionTest","HomePageTest.StatisticsSectionTest","paragraphBeneficiariesTest","paragraphBeneficiariesTest",""
"passed","Sun Sep 24 10:28:47 AST 2023","Sun Sep 24 10:28:47 AST 2023","16","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","verifyRegistrationHeroSectionTitleTextIsCorrect","verifyRegistrationHeroSectionTitleTextIsCorrect",""
"passed","Sun Sep 24 10:27:16 AST 2023","Sun Sep 24 10:27:16 AST 2023","27","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifyTitleJoinAsSpecialistFormIsDisplayed","verifyTitleJoinAsSpecialistFormIsDisplayed",""
"passed","Sun Sep 24 10:27:34 AST 2023","Sun Sep 24 10:27:34 AST 2023","22","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","verifyHeadTitleHeroSectionTextIsCorrect","verifyHeadTitleHeroSectionTextIsCorrect",""
